No,Date,Province,Confirmed
280,04-09-20,Eastern Cape,61
281,04-09-20,Free State,93
282,04-09-20,Gauteng,795
283,04-09-20,KwaZulu-Natal,387
284,04-09-20,Limpopo,22
285,04-09-20,Mpumalanga,20
286,04-09-20,Northern Cape,15
287,04-09-20,North West,15
288,04-09-20,Western Cape,515
289,04-10-20,Eastern Cape,68
290,04-10-20,Free State,94
291,04-10-20,Gauteng,801
292,04-10-20,KwaZulu-Natal,412
293,04-10-20,Limpopo,24
294,04-10-20,Mpumalanga,20
295,04-10-20,Northern Cape,15
296,04-10-20,North West,18
297,04-10-20,Western Cape,541
298,04-11-20,Eastern Cape,69
299,04-11-20,Free State,94
300,04-11-20,Gauteng,813
301,04-11-20,KwaZulu-Natal,418
302,04-11-20,Limpopo,23
303,04-11-20,Mpumalanga,20
304,04-11-20,Northern Cape,16
305,04-11-20,North West,19
306,04-11-20,Western Cape,546
307,04-12-20,Eastern Cape,88
308,04-12-20,Free State,96
309,04-12-20,Gauteng,865
310,04-12-20,KwaZulu-Natal,443
311,04-12-20,Limpopo,23
312,04-12-20,Mpumalanga,21
313,04-12-20,Northern Cape,16
314,04-12-20,North West,19
315,04-12-20,Western Cape,587
316,04-13-20,Eastern Cape,104
317,04-13-20,Free State,96
318,04-13-20,Gauteng,890
319,04-13-20,KwaZulu-Natal,465
320,04-13-20,Limpopo,23
321,04-13-20,Mpumalanga,22
322,04-13-20,Northern Cape,16
323,04-13-20,North West,22
324,04-13-20,Western Cape,617
325,04-14-20,Eastern Cape,174
326,04-14-20,Free State,98
327,04-14-20,Gauteng,909
328,04-14-20,KwaZulu-Natal,489
329,04-14-20,Limpopo,24
330,04-14-20,Mpumalanga,22
331,04-14-20,Northern Cape,16
332,04-14-20,North West,22
333,04-14-20,Western Cape,643
